Sacred Heart Medical Center at RiverBend,340,380102,Springfield,Ore.,Nonprofit and/or government,PeaceHealth,More than 250,,,West,Yes,,,Yes -- patients > financial assistance,Yes,Yes,https://www.peacehealth.org/patient-financial-services/request-financial-assistance,Yes,https://www.peacehealth.org/sites/default/files/2022-02/nr_patient_billing_and_collections_policy_2022_0.pdf,300% FPL,Blue,301%-400% FPL,Blue,"Not mentioned in the FAP, but not a practice of the hospital according to Alison Taylor",Liability capped at 10% of income*,Purple,No,Yes**,Blue,This is a practice of the hospital according to the Billing and Collections policy,No,Blue,"Action is allowed under the policy, but is not a practice of the hospital according to Alison Taylor","Action is allowed under the policy, but is not a practice of the hospital according to Alison Taylor",Yes**,Blue,No,Blue,"*According to spokesperson Alison Taylor
**Allowed, but not current practice, according to Taylor",,,http://www.peacehealth.org/,,69600
Lower Umpqua Hospital District,341,381311,Reedsport,Ore.,Nonprofit and/or government,,25 or fewer,,,West,Yes,,,No,"No -- when searched, ""business and finance services"" comes up with long page of FAQ, then link for plain language summary",No,,No,,200% FPL*,Blue,200%-400% FPL*,Blue,"Yes-- From financial assistance application: asks for assets and says ""may be used if your income is above 301% FPL""",Unclear*,Red,no data,Unclear*,Red,Unclear; no available policy,Unclear**,Red,Unclear; no available policy,Unclear; no available policy,Unclear**,Red,Unclear**,Red,"*According to aid application
**No available policy and hospital did not provide data requested by KHN","financial assistance application available from homepage under ""patient applications"" but no FAP on main page ; plain language summary states that FAP is available upon request: • To get copies of these documents, you can contact LUHD:
o Phone: (541) 271-2171",,http://www.lowerumpquahospital.com/,,61300
Samaritan Lebanon Community Hospital,342,381323,Lebanon,Ore.,Nonprofit and/or government,Samaritan Health Services,25 or fewer,,,West,Yes,,,no,yes,Yes,https://samhealth.policytech.com/dotNet/documents/?docid=7526&public=true,"Some, but not all",https://samhealth.policytech.com/dotNet/documents/?docid=7526&public=true,250% FPL,Blue,251%-400% FPL,Blue,Data is collected but not necessarily used in qualifying the patient (i.e. follow-up questions may be needed to decide qualification) for financial assistance according to Julie Manning,Considered when bills exceed 20% of income,Blue,No,Yes,Blue,This is a practice of the hospital according to the FAP,No*,Purple,"This action may be taken by the hospital according to the FAP, but is not a part of the typical process according to Julie Manning","This action may be taken by the hospital according to the FAP, but is not a part of the typical process according to Julie Manning",Yes,Blue,No*,Purple,*According to spokesperson Julie Manning,,,http://www.samhealth.org/,,68875
Good Shepherd Health Care System,343,381325,Hermiston,Ore.,Nonprofit and/or government,,25 or fewer,,,West,Yes,,,Yes-- paying for care tab > financial assistance ,"no- search bar is available, but no results come up when ""financial assistance"" is searched",Yes,https://www.gshealth.org/wp-content/uploads/GSH_Patient_Financial_Assistance_Policy_2022.pdf,"Some, but not all",https://www.gshealth.org/wp-content/uploads/GSH_Patient_Financial_Assistance_Policy_2022.pdf,200% FPL,Blue,200%-300% FPL,Blue,"yes, assets are considered (for inpatient accounts only)",No,Black,no,Yes,Blue,"Yes; not mentioned in policy, but is a practice, according to Caitlin Cozad",Yes*,Purple,Yes,Yes,Yes,Blue,No*,Purple,*According to spokesperson Caitlin Cozad,"Cozad said only debt from out-of-state patients is sold, and only rarely",,http://www.gshealth.org/,,33700
UPMC Jameson,344,390016,New Castle,Pa.,Nonprofit and/or government,UPMC,101-250,,,West,Yes,,Yes,"yes-- under ""...more"" > financial assistance","no-- search bar is available, but many confusing results pop up and FAP is not found or very hard to find in results",Yes,https://cdn.upmc.com/-/media/upmc/patients-visitors/paying-bill/services/documents/financial-assistance-process-policy.pdf,Yes,https://cdn.upmc.com/-/media/upmc/patients-visitors/paying-bill/services/documents/billing-and-collection-policy.pdf,300% FPL,Blue,300%-400% FPL,Blue,"Unclear-- not mentioned in FAP, but asks for assets in financial assistance application",Bills exceeding 15% of income,Blue,None mentioned,No,Blue,Yes according to the Billing and Collections policy,No,Blue,Not a practice of the hospital according to the Billing and Collections policy,Not a practice of the hospital according to the Billing and Collections policy,No,Blue,No,Blue,,"-UPMC will not engage in Extraordinary Collection Actions, as defined by applicable federal laws
-No financial assistance available for transplants",,http://www.upmcjameson.com/,,72376
Chestnut Hill Hospital,345,390026,Philadelphia,Pa.,Nonprofit and/or government,Tower Health,101-250,,,Northeast,Yes,,,yes-- billing > financial assistance ,yes,Yes,https://towerhealth.org/sites/default/files/pdfs/2021-02/ch-patientfinancialassistanceenglish_1%20%281%29.pdf,"Some, but not all",https://towerhealth.org/sites/default/files/pdfs/2021-04/Internal-External%20Collections%20042021.pdf,200% FPL,Blue,201%-400% FPL,Blue,no,No,Black,no,Yes,Blue,yes according to collections policy,No*,Purple,Not mentioned in the policy but is not a practice of the hospital according to Jessica Bezler,Not mentioned in the policy but is not a practice of the hospital according to Jessica Bezler,No*,Purple,No*,Purple,*According to spokesperson Jessica Bezler,"""The Senior Vice President of Revenue Cycle shall consider and must
approve any legal actions that may be pursued by the third-party collection agent.
No other extraordinary collection activities will be utilized""",,http://www.chhealthsystem.com/ --> website does not work. new website? https://towerhealth.org/locations/chestnut-hill-hospital ,,60000
Allegheny Valley Hospital,346,390032,Natrona Heights,Pa.,Nonprofit and/or government,Allegheny Health Network,101-250,,,Northeast,Yes,,,yes,yes,Yes,https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/patients-visitors/patients/financial-services/uninsured-financial-assistance/financial-assistance-policy/financial-assistance-policy-English.pdf,"Some, but not all",https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/patients-visitors/patients/financial-services/uninsured-financial-assistance/financial-assistance-policy/financial-assistance-policy-English.pdf,200% FPL,Blue,N/A,Black,yes,Bills exceeding 25% of income,Blue,"yes-- must be citizen and live in state, but under certain circumstances out-of-state may be considered",No*,Purple,"Yes, according to the policy it is a practice of the hospital when they are unable to collect from a patient",No*,Purple,"Yes, in rare circumstances according to the policy, and confirmed by Dan Laurent","Not mentioned in the policy, but is not a practice of the hospital, according to Dan Laurent",Yes,Blue,No*,Purple,*According to spokesperson Dan Laurent,FAP is vague on ECA's they actually use. FAP lists possible ECA's but does not mention which they may or may not take.,"legal action is only taken "" in only very select, rare circumstances.  Over the past 12 months, for example, only a few cases from across our entire network of hospitals have met the criteria for such action.  An example is when an insurance company pays the patient directly for our services and the patient refuses to remit the payment to us."" -- Dan Laurent",http://www.wpahs.org/,
WellSpan Good Samaritan Hospital,347,390066,Lebanon,Pa.,Nonprofit and/or government,WellSpan Health,101-250,,,Northeast,Yes,,Yes,yes,yes,Yes,https://www.wellspan.org/media/1920317/10853_WellSpan-Health-MAP-118-219.pdf,Yes,https://www.wellspan.org/media/1503370/Billing-and-Collections-Policy-07-2017.pdf,300% FPL,Blue,301%-400% FPL,Blue,yes,No,Black,Patients actively using WellSpan for services or within a feasible distance from locations are offered Financial Assistance according to the FAP. One-time financial assistance is offered for those that are traveling or visiting for emergent services according to the FAP.,No,Blue,yes according to the FAP,No,Blue,not a practice of the hospital according to the billing and collections policy,not a practice of the hospital according to the billing and collections policy,No,Blue,No,Blue,,"Address change (?)                                                        AHA website: 252 South 4th Street  Lebanon PA -------------------------Billing policy says ""WellSpan Health will not engage in Extraordinary Collection Acts (ECAs), either
directly or by any debt collection agency or other party to which the hospital has
referred the patient’s debt""",,http://www.gshleb.org/,,27656
Berwick Hospital Center,348,390072,Berwick,Pa.,For-profit,,101-250,,,Northeast,Yes,,,no,no,No,,No,,Unclear*,Red,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear*,Red,Unclear; no available policy,Unclear; no available policy,Unclear*,Red,Unclear*,Red,*No available policy and hospital did not provide data requested by KHN,,,https://berwickhospitalcenter.com/,,05888
Holy Redeemer Hospital,349,390097,Meadowbrook,Pa.,Nonprofit and/or government,,101-250,,,Northeast,Yes,,,no,yes,Yes,https://www.redeemerhealth.org/sites/default/files/page_content/HRHS%20Financial%20Assistance%20Policy-Updated%2006_01_19.pdf,"Some, but not all",https://www.redeemerhealth.org/sites/default/files/2022-02/Patient%20Billing%20and%20Collection%20Policy.pdf,250% FPL,Blue,250%-400% FPL,Blue,"yes, assets are considered according to FAP","Yes, but no standards specified",Blue,No,No*,Purple,Yes this is a practice of the hospital according to the Billing and Collection policy,No*,Purple,"Yes, but require consent from the CFO according to Billing and Collection Policy","Yes, may result from lawsuit according to Billing and Collection policy",Yes,Blue,No*,Purple,*According to spokesperson Richard Leonowitz,"Lengthy and confusing FAP. Redeemer health is very responsive, has a great attitude, and quick to reply and assist with the survey. Darrah Pilieri was very responsive and a pleasure to work with.",provided billing policy and FAP in email and how to get to it through the website.,http://www.holyredeemer.com/,
UPMC Passavant,350,390107,Pittsburgh,Pa.,Nonprofit and/or government,UPMC,More than 250,,,Northeast,Yes,,Yes,yes - bottom of page,yes -- but results that come up are confusing,Yes,https://cdn.upmc.com/-/media/upmc/patients-visitors/paying-bill/services/documents/financial-assistance-process-policy.pdf,Yes,https://cdn.upmc.com/-/media/upmc/patients-visitors/paying-bill/services/documents/billing-and-collection-policy.pdf,300% FPL,Blue,300%-400% FPL ,Blue,"Unclear-- not mentioned in FAP, but asks for assets in financial assistance application",Bills exceeding 15% of income,Blue,None mentioned,No,Blue,Yes according to the Billing and Collections policy,No,Blue,Not a practice of the hospital according to the Billing and Collections policy,Not a practice of the hospital according to the Billing and Collections policy,No,Blue,No,Blue,,"-UPMC will not engage in Extraordinary Collection Actions, as defined by applicable federal laws
-No financial assistance available for transplants",,https://www.upmc.com/locations/hospitals/passavant,,21712
Jefferson Torresdale Hospital,351,390115,Philadelphia,Pa.,Nonprofit and/or government,Jefferson Health,More than 250,,,Northeast,Yes,,,Yes,yes,Yes,https://www.jeffersonhealth.org/content/dam/health2021/documents/financial/financial-assistance/english/english-enterprise-financial-assistance-policy-amended-100421.pdf,Yes,https://www.jeffersonhealth.org/content/dam/health2021/documents/financial/financial-assistance/english/english-enterprise-financial-assistance-policy-amended-100421.pdf,200% FPL,Blue,200%-500% FPL,Blue,yes,Bills exceeding 30% of income,Blue,"yes, residents of Pennsylvania, New
Jersey and Delaware (makes exceptions for emergency care)",No,Blue,"yes, collection agencies used according to the FAP",No,Blue,Not a practice of the hospital according to the Billing and Collections policy,"Placing liens is an action the hospital may take according to the policy, but the hospital does not garnish wages according to Deana Gamble",Yes,Blue,No,Blue,,"FAP is a little confusing-- separated into New Jersey residents and non-New Jersey residence and calls it ""Jefferson Health Compassionate Care Program"" ; as of around June 16 they updated their website to be a new ""single version Jefferson Health enterprise site""",,http://www.ariahealth.org/,,60000
UPMC Bedford Memorial,352,390117,Everett,Pa.,Nonprofit and/or government,UPMC,26-50,,,Northeast,Yes,,Yes,yes -- bottom of page,yes -- but results that come up are confusing,Yes,https://cdn.upmc.com/-/media/upmc/patients-visitors/paying-bill/services/documents/financial-assistance-process-policy.pdf,Yes,https://cdn.upmc.com/-/media/upmc/patients-visitors/paying-bill/services/documents/billing-and-collection-policy.pdf,300% FPL,Blue,300%-400% FPL ,Blue,"Unclear-- not mentioned in FAP, but asks for assets in financial assistance application",Bills exceeding 15% of income,Blue,None mentioned,No,Blue,Yes according to the Billing and Collections policy,No,Blue,Not a practice of the hospital according to the Billing and Collections policy,Not a practice of the hospital according to the Billing and Collections policy,No,Blue,No,Blue,,"-UPMC will not engage in Extraordinary Collection Actions, as defined by applicable federal laws
-No financial assistance available for transplants",,http://www.upmcbedfordmemorial.com/,,24304
Lehigh Valley Hospital-Cedar Crest,353,390133,Allentown,Pa.,Nonprofit and/or government,Lehigh Valley Health Network,More than 250,,,Northeast,Yes,,,no,yes,Yes,https://www.lvhn.org/sites/default/files/2020-08/LVH-FAP-Policy.pdf,"Some, but not all",https://www.lvhn.org/sites/default/files/2020-08/LVH-FAP-Policy.pdf,200% FPL,,200%-400% FPL,Blue,yes,"Yes, but no standards specified",Blue,"yes, must live in LVHN service area (counties listed in FAP)",No*,Purple,yes according to FAP,Yes*,Purple,"yes, may pursue legal action according to the FAP","Not mentioned in the policy, but placing liens is considered a practice of the hospital according to Brian Downs. Garnishing wages is not a practice of the hospital according to Brian Downs.",Yes,Blue,No*,Purple,*According to spokesperson Brian Downs,"hard/could not find FAP through navigating website, but easily popped up when using search bar ","Brian Downs mentioned that liens are only taken in rare cases, few and far between. ""there have been instances where our attorney has placed a lien on a patient’s property after all other attempts were exhausted to resolve the balance with the patient.  These scenarios are few and far between"" ",http://www.lvhn.org/,,02000
Warren General Hospital,354,390146,Warren,Pa.,Nonprofit and/or government,,51-100,,,Northeast,Yes,,,yes,yes,Yes,https://www.wgh.org/financial-assistance#gsc.tab=0,"Some, but not all",https://www.wgh.org/financial-assistance#gsc.tab=0,200% FPL,Blue,200%-300% FPL,Blue,yes-- stated in FAP,No,Black,No; not mentioned in policy,Yes,Blue,Yes according to the FAP,Unclear*,Red,Unclear ; not mentioned in policy,Yes this is an action the hospital may take according to the FAP,Yes,Blue,Unclear*,Red,*Not mentioned in policy and hospital did not provide data requested by KHN,"policy is not on the website

FAP link is a google doc and is very small. discrepancy between what is written in policy and what is on website-- may be a typo on policy for income for free care? *** in email ask to clarify discounted care income %FPL

link to policy - https://virteomdevcdn.blob.core.windows.net/site-wgh-org/content/Financial_Assistance_Policy_101.02.doc
",,http://www.wgh.org/,,81000
WellSpan Chambersburg Hospital,355,390151,Chambersburg,Pa.,Nonprofit and/or government,WellSpan Health,More than 250,,,Northeast,Yes,,Yes,yes,yes,Yes,https://www.wellspan.org/media/1920317/10853_WellSpan-Health-MAP-118-219.pdf,Yes,https://www.wellspan.org/media/1503370/Billing-and-Collections-Policy-07-2017.pdf,300% FPL,Blue,301%-400% FPL,Blue,yes,No,Black,Patients actively using WellSpan for services or within a feasible distance from locations are offered Financial Assistance according to the FAP. One-time financial assistance is offered for those that are traveling or visiting for emergent services according to the FAP.,No,Blue,yes according to the FAP,No,Blue,not a practice of the hospital according to the billing and collections policy,not a practice of the hospital according to the billing and collections policy,No,Blue,No,Blue,,,,https://www.wellspan.org/offices-locations/wellspan-chambersburg-hospital/,,12536
Punxsutawney Area Hospital,356,390199,Punxsutawney,Pa.,Nonprofit and/or government,,26-50,,,Northeast,Yes,,,yes,yes,Yes,https://www.pah.org/download/?id=3675,"Some, but not all",https://www.pah.org/download/?id=3675,150% FPL,Blue,150%-250% FPL,Blue,yes-- stated in policy,"Yes, but no standards specified",Blue,No -- no restriction mentioned in policy,Yes,Blue,This is a practice of the hospital (Primary Bad Debt Collection Agency) according to the policy,No*,Purple,This is a practice of the hospital according to the financial policy,This is a practice of the hospital according to the financial policy,Yes,Blue,No,Blue,*According to spokesperson Katie Donald,,,http://www.pah.org/,,62920
Nazareth Hospital,357,390204,Philadelphia,Pa.,Nonprofit and/or government,Trinity Health,101-250,,,Northeast,Yes,,,no-- patient --> pay your bill --> financial assistance --> policy and application,Yes,Yes,https://www.trinityhealthma.org/assets/documents/finance/mfh-naz-financial-assist-policy-en.pdf,"Some, but not all",https://www.trinityhealthma.org/assets/documents/finance/mfh-naz-financial-assist-policy-en.pdf,200% FPL*,Blue,201%-400% FPL*,Blue,"reviews assets, but lists many assets that are ""protected"" to not be considered. excess assets will be considered",Bills exceeding 20% of income,Blue,"yes they typically only serve listed counties, but will provide financial support to patients outside of service area if they are in an "" urgent, emergent or life-threatening condition"" according to FAP",Yes,Blue,yes according to FAP,Unclear**,Red,"yes according to FAP ""legal proceeding"" ",yes according to FAP,Yes,Blue,Yes,Blue,"*Uninsured patients only; insured patients with income under 200% of FPL eligible for some discounts
**Not mentioned in policy and hospital did not provide data requested by KHN",FAP available on website but it was very hard to find,,http://www.nazarethhospital.org/,,60000
Jefferson Health Abington,358,390231,Abington,Pa.,Nonprofit and/or government,Jefferson Health,More than 250,,,Northeast,Yes,,,Yes,yes,Yes,https://www.jeffersonhealth.org/content/dam/health2021/documents/financial/financial-assistance/english/english-enterprise-financial-assistance-policy-amended-100421.pdf,Yes,https://www.jeffersonhealth.org/content/dam/health2021/documents/financial/financial-assistance/english/english-enterprise-financial-assistance-policy-amended-100421.pdf,200% FPL,Blue,200%-500% FPL,Blue,yes,Bills exceeding 30% of income,Blue,"yes, residents of Pennsylvania, New
Jersey and Delaware (makes exceptions for emergency care)",No,Blue,"yes, collection agencies used according to the FAP",No,Blue,Not a practice of the hospital according to the Billing and Collections policy,"Placing liens is an action the hospital may take according to the policy, but the hospital does not garnish wages according to Deana Gamble",Yes,Blue,No,Blue,,"FAP is a little confusing-- separated into New Jersey residents and non-New Jersey residence and calls it ""Jefferson Health Compassionate Care Program"" ; as of around June 16 they updated their website to be a new ""single version Jefferson Health enterprise site""",,http://www.abingtonhealth.org/,
Regional Hospital of Scranton,359,390237,Scranton,Pa.,For-profit,Community Health Systems,101-250,,,Northeast,Yes,,,no,yes,Yes,https://www.commonwealthhealth.net/Uploads/Public/Documents/all-new-documents/division-5/commonwealth/financial-information-new/Regional%20Hospital%20of%20Scranton%20Financial%20Assistance%20Policy%20for%20website%2007312021.pdf,No,,100% FPL,Blue,101%-400% FPL,Blue,Yes according to FAP,"Bills exceeding $50,000 or 25% of income",Blue,"no, not mentioned",Yes*,Purple,"No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt",No*,Purple,"No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt","No available policy, but is a practice of the hospital, according to spokeswoman Rebecca Pitt",Yes*,Purple,No*,Purple,*According to spokesperson Rebecca Pitt,"*** ask where to find billing and collections policy ; FAP very hard to find: patient and visitors --> financial information --> financial assistance program --> small button at bottom in each hospital section that says ""click here for more infomration"" and that is the FAP",,http://www.regionalhospitalofscranton.net/,,69000
St. Mary Medical Center,360,390258,Langhorne,Pa.,Nonprofit and/or government,Trinity Health,More than 250,,,Northeast,Yes,,,No,Yes,Yes,https://www.trinityhealthma.org/assets/documents/finance/smmc-financial-assist-policy-en.pdf,"Some, but not all",https://www.trinityhealthma.org/assets/documents/finance/smmc-financial-assist-policy-en.pdf,250% FPL,Blue,251%-400% FPL ,Blue,Yes according to FAP,Considered case by case if bills exceed 20% of income ,Blue,"Yes according to FAP, but service area list not given in FAP",Yes,Blue,Yes according to FAP,Unclear*,Red,Yes according to FAP,Yes according to FAP,Yes,Blue,Yes,Blue,*Not mentioned in policy and hospital did not provide data requested by KHN,,,http://www.stmaryhealthcare.org/,,41392
AHN Grove City ,361,390266,Grove City,Pa.,Nonprofit and/or government,Allegheny Health Network,51-100,,,Northeast,Yes,,,Yes-- patients and visitors --> financial assistance,Yes,Yes,https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/patients-visitors/patients/financial-services/uninsured-financial-assistance/financial-assistance-policy/financial-assistance-policy-English.pdf,"Some, but not all",https://www.ahn.org/content/dam/ahn/en/dmxahn/documents/patients-visitors/patients/financial-services/uninsured-financial-assistance/financial-assistance-policy/financial-assistance-policy-English.pdf,200% FPL,Blue,N/A,Black,yes,Bills exceeding 25% of income,Blue,"yes-- must be citizen and live in state, but under certain circumstances out-of-state may be considered",No*,Purple,"Yes, according to the policy it is a practice of the hospital when they are unable to collect from a patient",No*,Purple,"Yes, in rare circumstances according to the policy, and confirmed by Dan Laurent","Not mentioned in the policy, but is not a practice of the hospital, according to Dan Laurent",Yes,Blue,No*,Purple,*According to spokesperson Dan Laurent,FAP is vague on ECA's they actually use. FAP lists possible ECA's but does not mention which they may or may not take.,"legal action is only taken "" in only very select, rare circumstances.  Over the past 12 months, for example, only a few cases from across our entire network of hospitals have met the criteria for such action.  An example is when an insurance company pays the patient directly for our services and the patient refuses to remit the payment to us."" -- Dan Laurent",http://www.gcmcpa.org/,,31656
Mount Nittany Medical Center,362,390268,State College,Pa.,Nonprofit and/or government,,More than 250,,,Northeast,Yes,,,Yes-- Billing and insurance --> financial assistance,no-- no search bar,Yes,http://www.mountnittany.org/docs/default-source/default-document-library/billing-insurance/mount-nittany-financial-assistance-policy-6-28-16-2---036936.pdf?sfvrsn=11827753_3,"Some, but not all",http://www.mountnittany.org/docs/default-source/default-document-library/billing-insurance/mount-nittany-financial-assistance-policy-6-28-16-2---036936.pdf?sfvrsn=11827753_3,250% FPL,Blue,251%-400%*,Purple,Not mentioned in the policy but not a practice of the hospital according to Laura Moss,No,Black,Not mentioned in the policy but not a practice of the hospital according to Laura Moss,Yes,Blue,Yes this is a practice of the hospital according to the FAP,No*,Purple,Not mentioned in the policy but is not a practice of the hospital according to Laura Moss,Not mentioned in the policy but is not a practice of the hospital according to Laura Moss,No*,Purple,No,Blue,*According to Laura Moss,,"Linda Bandura was who I emailed with, Laura Moss, Manager of Revenue Cycle is spokesperson",http://www.mountnittany.org/,,73808
St. Christopher's Hospital for Children ,363,393307,Philadelphia,Pa.,Nonprofit and/or government,Tower Health,101-250,,,Northeast,Yes,,,Yes -- billing --> financial assistance,yes,Yes,https://towerhealth.org/sites/default/files/pdfs/2021-04/St.%20Chris%20Patient%20Financial%20Assistance%20PolicyENGLISH.pdf,"Some, but not all",https://towerhealth.org/sites/default/files/pdfs/2021-04/Internal-External%20Collections%20042021.pdf,200% FPL,Blue,201%-400% FPL,Blue,no,No,Black,no,Yes,Blue,yes according to collections policy,No*,Purple,Not mentioned in the policy but is not a practice of the hospital according to Jessica Bezler,Not mentioned in the policy but is not a practice of the hospital according to Jessica Bezler,No*,Purple,No*,Purple,*According to spokesperson Jessica Bezler,"""The Senior Vice President of Revenue Cycle shall consider and must
approve any legal actions that may be pursued by the third-party collection agent.
No other extraordinary collection activities will be utilized"" ; Address change (?)                                                        AHA website: 3601 A Street Philadelphia PA",,http://www.stchristophershospital.com/,,60000
Landmark Medical Center,364,410011,Woonsocket,R.I.,For-profit,Prime Healthcare,101-250,,,Northeast,Yes,,,no,yes,Yes,https://www.landmarkmedical.org/patients-visitors/patient-guide/financial-assistance/,Yes,https://www.landmarkmedical.org/patients-visitors/patient-guide/financial-assistance/,350% FPL*,Blue,351%-450% FPL*,,yes according to FAP,Patients with income less than 450% of FPL and bills exceeding 10% of income,Blue,no,Yes,Blue,yes according to FAP,Yes**,Blue,"Yes, according to FAP","No, according to FAP",Yes,Blue,Yes**,Blue,"*Uninsured patients only
**Allowed, but not current practice, according to spokesperson Elizabeth Nikels",website didnt work-- correct website? https://www.landmarkmedical.org/?utm_source=GMBlisting&utm_medium=Organic&utm_campaign=GMBWebsite ,,https://guide.prod.iam.aha.org/guide/www.landmarkmedcenter.com,,80780
Westerly Hospital,365,410013,Westerly,R.I.,Nonprofit and/or government,Yale New Haven Health,101-250,,,Northeast,Yes,,,"yes, patients + visitors --> financial assistance",yes,Yes,https://www.westerlyhospital.org/patients-visitors/billing-insurance/Financial-assistance,"Some, but not all",https://www.westerlyhospital.org/patients-visitors/billing-insurance/Financial-assistance,250% FPL,Blue,251%-550% FPL,Blue,no,"Yes, but no standards specified*",Purple,must live in the United States,No*,Purple,yes according to FAP,No*,Purple,Not mentioned in the policy and is not a practice of the hospital according to Fiona Phelan,Liens are a practice of the hospital according to the FAP. Garnishing of wages is not mentioned in the policy but is not a practice of the hospital according to Fiona Phelan,Yes,Blue,No*,Purple,*According to spokesperson Fiona Phelan,only liens mentioned as ECA,,http://www.westerlyhospital.org/,,76820
MUSC Health Columbia Medical Center Downtown,366,420026,Columbia,S.C.,Nonprofit and/or government,MUSC Health (Medical University of South Carolina),101-250,Yes,,South ,No,,,no,yes,Yes,https://muschealth.org/-/sm/health/patients-visitors/billing/f/financial-assistance-policy-update-with-2022-fpl.ashx?la=en,"Some, but not all",https://muschealth.org/-/sm/health/patients-visitors/billing/f/plain-language-summary.ashx,200% FPL*,Blue,201%-250% FPL*,Blue,Yes according to FAP,No,Black,US citizen and lives in South Carolina,Yes,Blue,yes according to FAP,No**,Purple,"Yes, but not typically, according to the Plain Language Summary","Liens: Yes, according to the Plain Language Summary

Wages: Yes, but not typically, according to the Plain Language Summary",Yes,Blue,No**,Purple,"*Lower standard for insured patients
**According to spokesperson Montez Seabrook","*** ask for billing and collections policy ; Address change (?)                                                        AHA website: 2435 Forest Drive   Columbia, SC",,https://muschealth.org/columbia-medical-center-downtown,,75850
Prisma Health Greer Memorial Hospital,367,420033,Greer,S.C.,Nonprofit and/or government,Prisma Health,51-100,,,South ,No,,,no,yes,Yes,https://prismahealth.org/patients-and-guests/billing-and-insurance/financial-assistance,"Some, but not all",https://prismahealth.org/patients-and-guests/billing-and-insurance/financial-assistance,200% FPL,Blue,200%-400% FPL,Blue,"yes, assets will be reviewed to decide the level of assistance according to FAP",Bills exceeding twice patients' income,Blue,must live in the United States,Yes,Blue,"Yes, This is a practice of the hospital according to the FAP",No*,Purple,Action is allowed by the policy but the hospital does not currently take this action according to Sandy Dees,Action is allowed by the policy but the hospital does not currently take this action according to Sandy Dees,Yes**,Blue,No*,Purple,"*According to spokesperson Sandy Dees
**Allowed, but not current practice, according to Dees","Hospital is in the process of updating their policy to reflect the change in no longer placing liens or garnishing wages -- according to Sandy Dees

Sandy will email Noam when the policy updates (likely in late September)","Sandy Dees stated that the correct system name is ""Prisma Health"" and it serves Upstate and Midlands area of South Carolina",http://www.ghs.org/,,30985
MUSC Health Kershaw Medical Center,368,420048,Camden,S.C.,Nonprofit and/or government,MUSC Health (Medical University of South Carolina),101-250,,,South ,No,,,no,yes,Yes,https://muschealth.org/-/sm/health/patients-visitors/billing/f/financial-assistance-policy-update-with-2022-fpl.ashx?la=en,"Some, but not all",https://muschealth.org/-/sm/health/patients-visitors/billing/f/plain-language-summary.ashx,200% FPL*,Blue,201%-250% FPL*,Blue,Yes according to FAP,No,Black,US citizen and lives in South Carolina,Yes,Blue,yes according to FAP,No**,Purple,"Yes, but not typically, according to the Plain Language Summary","Liens: Yes, according to the Plain Language Summary

Wages: Yes, but not typically, according to the Plain Language Summary",Yes,Blue,No**,Purple,"*Lower standard for insured patients
**According to spokesperson Montez Seabrook",,,http://www.kershawhealth.org/,,10855
Beaufort Memorial Hospital,369,420067,Beaufort,S.C.,Nonprofit and/or government,,101-250,,,South ,No,,,no,yes,Yes,https://www.bmhsc.org/assets/documents/billing-and-financial-aid-forms/financial-assistance-policy(acc-final)ltr.pdf,"Some, but not all",https://www.bmhsc.org/assets/documents/billing-and-financial-aid-forms/billing-and-collection-policy-(acc-final)ltr.pdf,200% FPL,Blue,201%-320% FPL,Blue,"No, eligibility is only based on income",Bills exceeding 20% of income,Blue,no,Yes,Blue,yes according to billing and collection policy ,Yes*,Blue,"Yes, this is a practice of the hospital under certain circumstances according to the Billing and Collection policy","Yes, this is a practice of the hospital under certain circumstances according to the Billing and Collection policy",Yes,Blue,No**,Purple,"*Allowed, but not current practice, according to spokesperson Dee Robinson
**According to Robinson",Deidre provided more information on decision to not sell debt anymore rather than providing a follow-up interview,"According to Dee Robinson, ""Leadership at Beaufort Memorial has not felt the need to sell patient debt, especially given the effects of the pandemic, as we work with our community to make affordable and accessible healthcare available to all of our residents.""",http://www.bmhsc.org/,,04690
Prisma Health Tuomey Hospital,370,420070,Sumter,S.C.,Nonprofit and/or government,Prisma Health,101-250,,,South ,No,,,no,yes,Yes,https://prismahealth.org/patients-and-guests/billing-and-insurance/financial-assistance,"Some, but not all",https://prismahealth.org/patients-and-guests/billing-and-insurance/financial-assistance,200% FPL,Blue,200%-400% FPL,Blue,"yes, assets will be reviewed to decide the level of assistance according to FAP",Bills exceeding twice patients' income,Blue,must live in the United States,Yes,Blue,"Yes, This is a practice of the hospital according to the FAP",No*,Purple,Action is allowed by the policy but the hospital does not currently take this action according to Sandy Dees,Action is allowed by the policy but the hospital does not currently take this action according to Sandy Dees,Yes**,Blue,No*,Purple,"*According to spokesperson Sandy Dees
**Allowed, but not current practice, according to Dees",Hospital is in the process of updating their policy to reflect the change in no longer placing liens or garnishing wages -- according to Sandy Dees,,http://www.tuomey.com/,,70405
